id,label,title,color,size,type,in_degree,out_degree
tests/coruja/htmlcov/z_3df6525a9511f7c6_rule_loader_py.html,z_3df6525a9511f7c6_rule_loader_py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6_rule_loader_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3df6525a9511f7c6_sanitizer_py.html,z_3df6525a9511f7c6_sanitizer_py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6_sanitizer_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3df6525a9511f7c6___init___py.html,z_3df6525a9511f7c6___init___py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_412edefcb800d8aa_atlas_core_py.html,z_412edefcb800d8aa_atlas_core_py.html,tests/coruja/htmlcov/z_412edefcb800d8aa_atlas_core_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_412edefcb800d8aa_cartographer_py.html,z_412edefcb800d8aa_cartographer_py.html,tests/coruja/htmlcov/z_412edefcb800d8aa_cartographer_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_412edefcb800d8aa___init___py.html,z_412edefcb800d8aa___init___py.html,tests/coruja/htmlcov/z_412edefcb800d8aa___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4230b08a85184e18_backup_manager_py.html,z_4230b08a85184e18_backup_manager_py.html,tests/coruja/htmlcov/z_4230b08a85184e18_backup_manager_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4230b08a85184e18_pid_manager_py.html,z_4230b08a85184e18_pid_manager_py.html,tests/coruja/htmlcov/z_4230b08a85184e18_pid_manager_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4230b08a85184e18___init___py.html,z_4230b08a85184e18___init___py.html,tests/coruja/htmlcov/z_4230b08a85184e18___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_45e52400bf1f34d3_logging_py.html,z_45e52400bf1f34d3_logging_py.html,tests/coruja/htmlcov/z_45e52400bf1f34d3_logging_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_45e52400bf1f34d3_metadata_manager_py.html,z_45e52400bf1f34d3_metadata_manager_py.html,tests/coruja/htmlcov/z_45e52400bf1f34d3_metadata_manager_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_45e52400bf1f34d3___init___py.html,z_45e52400bf1f34d3___init___py.html,tests/coruja/htmlcov/z_45e52400bf1f34d3___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4ddae8f80fa46b67_test_basic_orchestrator_py.html,z_4ddae8f80fa46b67_test_basic_orchestrator_py.html,tests/coruja/htmlcov/z_4ddae8f80fa46b67_test_basic_orchestrator_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4ddae8f80fa46b67_test_prompt_manager_py.html,z_4ddae8f80fa46b67_test_prompt_manager_py.html,tests/coruja/htmlcov/z_4ddae8f80fa46b67_test_prompt_manager_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_4ddae8f80fa46b67___init___py.html,z_4ddae8f80fa46b67___init___py.html,tests/coruja/htmlcov/z_4ddae8f80fa46b67___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_6237c1be8d4fbac7_gemini_interface_py.html,z_6237c1be8d4fbac7_gemini_interface_py.html,tests/coruja/htmlcov/z_6237c1be8d4fbac7_gemini_interface_py.html,#1f77b4,10,html,0,0
